;Total Full-Time Basic Sciences Faculty;Total Full-Time Clinical Faculty;Total Full-Time Faculty;;;;
Private, All Regions Average;149;1,222;1,371;;;;
Case Western Reserve;423;2,445;2,868;;;;
Baylor;388;3,460;3,848;;;;
U Washington;376;2,646;3,022;;;;
USF-Morsani;357;1,147;1,504;;;;
Ohio State;354;1,730;2,084;;;;
Mount Sinai-Icahn;354;3,047;3,401;;;;
Harvard;351;9,047;9,398;;;;
UT Southwestern;350;2,151;2,501;;;;
Einstein;318;1,844;2,162;;;;
Michigan;315;2,445;2,760;;;;
NYU-Grossman;303;756;1,059;;;;
Mayo-Alix;297;540;837;;;;
Pittsburgh;269;2,115;2,384;;;;
Columbia-Vagelos;268;1,896;2,164;;;;
Colorado;261;4,011;4,272;;;;
Cornell-Weill;260;1,572;1,832;;;;
North Carolina;255;1,765;2,020;;;;
Alabama;251;1,253;1,504;;;;
Wake Forest;250;926;1,176;;;;
Pennsylvania-Perelman;248;2,395;2,643;;;;
Yale;248;1,413;1,661;;;;
Duke;242;2,176;2,418;;;;
Georgetown;240;1,046;1,286;;;;
Johns Hopkins;232;2,719;2,951;;;;
Rochester;230;1,392;1,622;;;;
Massachusetts;229;1,074;1,303;;;;
Kentucky;222;903;1,125;;;;
Uniformed Services-Hebert;211;5,041;5,252;;;;
Minnesota;205;1,912;2,117;;;;
Penn State;204;1,043;1,247;;;;
Southern Cal-Keck;200;1,715;1,915;;;;
Temple-Katz;197;666;863;;;;
Vanderbilt;193;2,514;2,707;;;;
Virginia;192;858;1,050;;;;
MU South Carolina;190;1,032;1,222;;;;
Florida;188;1,355;1,543;;;;
UT San Antonio-Long;186;713;899;;;;
Virginia Commonwealth;182;1,689;1,871;;;;
Illinois;180;796;976;;;;
Wisconsin;172;1,145;1,317;;;;
Emory;170;2,442;2,612;;;;
Nebraska;169;769;938;;;;
Indiana;168;2,505;2,673;;;;
Maryland;162;1,061;1,223;;;;
Washington U St Louis;158;1,951;2,109;;;;
Northwestern-Feinberg;157;1,651;1,808;;;;
Miami-Miller;155;1,343;1,498;;;;
Connecticut;155;987;1,142;;;;
Oregon;154;1,876;2,030;;;;
UC San Francisco;153;2,461;2,614;;;;
Stanford;153;893;1,046;;;;
UT Houston-McGovern;153;1,272;1,425;;;;
Chicago-Pritzker;150;818;968;;;;
Brown-Alpert;144;1,159;1,303;;;;
Jefferson-Kimmel;138;1,166;1,304;;;;
Michigan State;138;454;592;;;;
Kansas;133;936;1,069;;;;
UT Medical Branch;130;641;771;;;;
Utah;130;1,634;1,764;;;;
Texas A & M;130;36;166;;;;
UCLA-Geffen;126;2,754;2,880;;;;
George Washington;126;1,016;1,142;;;;
New York Medical;125;917;1,042;;;;
Boston;120;1,039;1,159;;;;
West Virginia;120;795;915;;;;
Wayne State;117;811;928;;;;
MC Wisconsin;114;1,484;1,598;;;;
Drexel;111;231;342;;;;
Buffalo-Jacobs;110;693;803;;;;
Arizona;110;830;940;;;;
UCF;108;63;171;;;;
Carle Illinois;106;253;359;;;;
MC Georgia Augusta;104;475;579;;;;
Loyola-Stritch;103;627;730;;;;
Tufts;101;1,077;1,178;;;;
UC Davis;101;714;815;;;;
Florida State;101;61;162;;;;
Zucker Hofstra Northwell;101;2,401;2,502;;;;
Louisville;98;725;823;;;;
Iowa-Carver;97;855;952;;;;
Tennessee;95;847;942;;;;
Arkansas;94;1,098;1,192;;;;
Dartmouth-Geisel;94;693;787;;;;
LSU New Orleans;94;480;574;;;;
Renaissance Stony Brook;93;777;870;;;;
SUNY Downstate;91;639;730;;;;
East Carolina-Brody;90;337;427;;;;
Mississippi;86;633;719;;;;
Rutgers New Jersey;85;467;552;;;;
Tulane;85;471;556;;;;
Southern Illinois;85;253;338;;;;
Missouri Columbia;82;594;676;;;;
Toledo;78;567;645;;;;
Morehouse;77;158;235;;;;
Loma Linda;76;923;999;;;;
Texas Tech;76;388;464;;;;
Cooper Rowan;76;573;649;;;;
Albany;75;876;951;;;;
Howard;74;152;226;;;;
Geisinger Commonwealth;72;1,212;1,284;;;;
UT Austin-Dell;70;368;438;;;;
Nevada Reno;69;70;139;;;;
Oklahoma;67;975;1,042;;;;
Vermont-Larner;67;718;785;;;;
Creighton;66;231;297;;;;
South Carolina Columbia;66;158;224;;;;
UC Irvine;65;641;706;;;;
FIU-Wertheim;65;1,288;1,353;;;;
Virginia Tech Carilion;65;735;800;;;;
Chicago Med Franklin;61;19;80;;;;
Rutgers-RW Johnson;61;606;667;;;;
Meharry;59;94;153;;;;
SUNY Upstate;59;516;575;;;;
Cincinnati;57;1,793;1,850;;;;
Puerto Rico;57;285;342;;;;
Hawaii-Burns;57;89;146;;;;
LSU Shreveport;54;349;403;;;;
Eastern Virginia;54;474;528;;;;
Saint Louis;53;574;627;;;;
UC San Diego;53;1,549;1,602;;;;
Rush;51;706;757;;;;
New Mexico;49;892;941;;;;
Texas Tech-Foster;49;250;299;;;;
UT Rio Grande Valley;45;75;120;;;;
Wright State-Boonshoft;43;446;489;;;;
South Alabama;41;169;210;;;;
Northeast Ohio;40;430;470;;;;
Caribe;40;152;192;;;;
North Dakota;39;43;82;;;;
Missouri Kansas City;38;987;1,025;;;;
East Tennessee-Quillen;38;200;238;;;;
Mercer;38;348;386;;;;
South Dakota-Sanford;36;289;325;;;;
Oakland Beaumont;36;551;587;;;;
CUNY;35;16;51;;;;
Marshall-Edwards;31;268;299;;;;
Arizona Phoenix;30;1,075;1,105;;;;
San Juan Bautista;29;193;222;;;;
Florida Atlantic-Schmidt;29;67;96;;;;
Western Michigan-Stryker;28;106;134;;;;
Quinnipiac-Netter;25;268;293;;;;
Ponce;24;133;157;;;;
UC Riverside;23;284;307;;;;
Central Michigan;21;57;78;;;;
South Carolina Greenville;21;983;1,004;;;;
Nova Southeastern-Patel;17;10;27;;;;
Hackensack Meridian;10;0;10;;;;
UNLV-Kerkorian;9;141;150;;;;
California Northstate;6;7;13;;;;
Washington State-Floyd;0;32;32;;;;
California;0;288;288;;;;
Kaiser Permanente-Tyson;NI;NI;NI;;;;
TCU UNTHSC;NI;NI;NI;;;;
NYU Long Island;NI;NI;NI;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Data Explanations:;;;;;;;
;;;;;;;
Total Full-Time Basic Sciences Faculty:;;;;;;;
;;;;;;;
;;;;;;;
Total Full-Time Clinical Faculty:;;;;;;;
;;;;;;;
;;;;;;;
Total Full-Time Faculty:;;;;;;;
